"","","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population","Deaths per 100 000 population"
"",""," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"," 2000"
"",""," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"
"Region","Causes"," All ages (total) years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-59  years"," 60-69  years"," 70+  years"," All ages (total) years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-59  years"," 60-69  years"," 70+  years"," All ages (total) years"," All ages (total) years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-59  years"," 60-69  years"," 70+  years"," All ages (total) years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-59  years"," 60-69  years"," 70+  years"," All ages (total) years"
"Africa Region"," All Causes","1039.1","347.4","382.1","825.9","1234.6","2491.3","8421.2","996.1","350.6","418.3","903.6","1623.2","3159.4","9389.5","1082.2","1485.8","460.4","567.0","1194.5","1596.6","2964.4","9189.5","1426.1","461.1","567.4","1307.3","2034.1","3663.8","10230.0","1545.8"
"Africa Region"," Communicable &amp; other Group I","630.8","218.0","261.6","591.7","474.0","737.2","2543.7","624.1","211.8","176.0","525.7","615.5","923.4","2820.6","637.6","1050.9","319.2","437.5","938.7","748.7","1066.1","3282.3","1044.7","303.0","270.1","852.7","904.8","1267.5","3578.9","1057.2"
"Africa Region"," Infectious and parasitic diseases","355.3","164.1","152.2","446.0","349.3","403.8","836.9","351.3","161.3","135.6","455.0","453.1","528.8","1030.6","359.4","669.7","244.4","269.6","696.9","576.2","614.4","1190.1","664.2","231.5","211.1","748.9","681.4","773.0","1430.5","675.2"
"Africa Region"," Tuberculosis","24.4","5.8","4.8","19.7","47.8","93.0","160.8","20.7","3.8","3.8","30.0","87.1","172.6","348.5","28.1","36.1","7.5","7.5","29.8","78.0","145.3","241.7","31.7","4.7","5.9","45.4","127.6","242.2","458.9","40.5"
"Africa Region"," STDs excluding HIV","5.3","2.6","0.5","0.6","0.7","1.0","2.5","5.4","2.3","0.4","0.6","0.8","1.5","3.0","5.2","8.8","4.9","0.6","0.8","0.9","1.2","3.0","8.9","4.4","0.6","1.0","1.2","2.2","4.1","8.7"
"Africa Region"," Syphilis","5.1","2.5","0.0","0.0","0.1","0.2","0.6","5.0","2.3","0.4","0.6","0.8","1.5","3.0","5.2","8.6","4.8","0.0","0.0","0.1","0.3","0.7","8.5","4.4","0.6","1.0","1.2","2.2","4.1","8.7"
"Africa Region"," Chlamydia","0.0","0.0","0.1","0.1","0.1","0.2","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.1","0.2","0.2","0.2","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
